Company,PreviousClosingPrice,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date
ABBEYBANK,8.2,8.2,8.60,8.60,8.60,0.4,214,"1,154,859","10,010,123.25",31 Jul 26
ABCTRANS,5.75,5.75,--,--,5.75,,214,"535,626","3,123,572.50",31 Jul 26
ACADEMY,6.15,6.15,--,--,6.15,,41,"152,057","946,299.65",31 Jul 26
ACCESSCORP,26.1,27,27.00,25.80,26.30,0.2,2283,"22,806,253","598,255,320.45",31 Jul 26
AFRINSURE [MRF],0.2,0.2,--,--,0.20,,0,--,--,31 Jul 26
AFRIPRUD,12.9,12.9,13.00,12.90,12.90,0,144,"994,819","12,755,176.75",31 Jul 26
AFROMEDIA [MRF],0.24,0.24,--,--,0.24,,0,--,--,31 Jul 26
AIICO,4.11,4.11,4.15,4.10,4.15,0.04,479,"7,036,957","28,986,331.62",31 Jul 26
AIRTELAFRI,5801.4,5801.4,--,--,5801.40,,39,"1,205","7,689,707.50",31 Jul 26
ALEX [BMF],9.9,9.9,--,--,9.90,,0,--,--,31 Jul 26
ARADEL,1526.8,1526.8,--,--,1526.80,,2019,"2,322,504","3,459,974,591.70",31 Jul 26
AUSTINLAZ [RST],3.18,3.18,--,--,3.18,,34,"73,365","234,668.80",31 Jul 26
AVACAP,null,null,8.25,8.25,8.25,,95,"91,116,221","751,708,823.25",31 Jul 26
AVAIF,1000000,1000000,--,--,1000000.00,,0,--,--,31 Jul 26
BAPLC,6.25,6.25,--,--,6.25,,0,--,--,31 Jul 26
BERGER,147.6,147.6,--,--,147.60,,47,"12,306","1,634,852.10",31 Jul 26
BETAGLAS,562.8,562.8,--,--,562.80,,195,"69,294","35,347,425.80",31 Jul 26
BUACEMENT,316,316,--,--,316.00,,1418,"500,919","149,267,577.90",31 Jul 26
BUAFOODS,845.1,845.1,--,--,845.10,,571,"51,666","39,297,159.60",31 Jul 26
CADBURY,65,65,64.50,64.50,64.50,-0.5,320,"1,154,602","73,945,505.25",31 Jul 26
CAP,142.45,142.45,128.25,128.25,128.25,-14.2,93,"283,811","36,503,231.55",31 Jul 26
CAVERTON,5.2,5.2,5.00,5.00,5.00,-0.2,73,"495,837","2,545,173.60",31 Jul 26
CHAMPION,11,11,11.20,10.90,11.20,0.2,128,"1,444,876","15,880,091.05",31 Jul 26
CHAMS,4.35,4.3,4.50,4.04,4.50,0.15,943,"51,547,449","218,031,681.63",31 Jul 26
CHELLARAM,13.2,13.2,--,--,13.20,,28,"242,305","3,107,658.15",31 Jul 26
